     7.000 1 0 0 0 0 0 0 0 0      0.005      0.000      0.986      0.000      0.008    3
     7.000 0 0 1 0 1 0 0 0 0      0.012      0.000      0.924      0.000      0.065    3
     6.000 0 0 0 0 0 0 0 0 1      0.130      0.000      0.867      0.000      0.003    3
     6.000 0 0 0 1 0 0 0 0 0      0.005      0.000      0.992      0.000      0.004    3
     6.000 0 0 1 0 1 0 0 1 0      0.228      0.000      0.524      0.000      0.248    3
     6.000 0 0 0 0 0 0 1 0 0      0.089      0.000      0.908      0.000      0.004    3
     5.000 0 0 0 0 1 0 0 1 0      0.164      0.000      0.821      0.000      0.016    3
     5.000 0 0 0 0 0 0 0 1 0      0.116      0.000      0.881      0.000      0.003    3
     5.000 0 1 1 0 0 0 0 0 0      0.004      0.000      0.721      0.001      0.274    3
     5.000 0 0 1 0 0 0 0 1 0      0.208      0.000      0.725      0.001      0.066    3
     4.000 1 0 0 0 0 1 0 0 0      0.127      0.000      0.837      0.004      0.032    3
     4.000 0 0 1 0 0 0 0 0 0      0.008      0.000      0.979      0.000      0.013    3
     4.000 1 1 0 0 0 0 0 0 0      0.003      0.000      0.801      0.002      0.194    3
     4.000 0 1 0 1 1 0 0 0 0      0.003      0.000      0.643      0.000      0.353    3
     4.000 0 0 0 0 0 1 0 0 0      0.099      0.000      0.899      0.000      0.002    3
     3.000 0 0 1 0 1 1 0 0 0      0.218      0.000      0.595      0.000      0.187    3
     3.000 0 0 0 1 1 0 0 0 1      0.198      0.000      0.708      0.000      0.095    3
     3.000 0 1 0 0 1 0 0 0 0      0.004      0.000      0.922      0.000      0.074    3
     3.000 0 0 1 0 0 1 0 0 0      0.185      0.000      0.768      0.001      0.046    3
     3.000 1 0 1 0 0 0 0 0 0      0.009      0.000      0.817      0.001      0.173    3
     3.000 0 0 0 1 1 0 0 1 0      0.178      0.000      0.727      0.000      0.095    3
     3.000 0 1 0 0 0 0 0 1 0      0.082      0.000      0.830      0.002      0.086    3
     3.000 0 0 1 0 1 0 1 0 0      0.178      0.000      0.547      0.000      0.275    3
     2.000 0 1 0 1 0 0 0 0 0      0.003      0.000      0.902      0.000      0.095    3
     2.000 0 0 0 0 0 * 0 0 0      0.015      0.000      0.984      0.000      0.001    3
     2.000 0 0 0 0 1 0 0 0 1      0.183      0.000      0.802      0.000      0.016    3
     2.000 0 0 1 0 0 0 0 0 1      0.230      0.000      0.703      0.002      0.065    3
     2.000 0 0 1 1 0 0 0 0 0      0.009      0.000      0.907      0.000      0.083    3
     2.000 1 0 1 0 0 1 0 0 0      0.139      0.000      0.419      0.044      0.398    3
     2.000 1 0 0 0 1 0 0 1 0      0.174      0.000      0.634      0.001      0.191    3
     2.000 0 1 0 0 1 0 1 0 0      0.066      0.000      0.592      0.000      0.341    3
     2.000 0 1 0 0 1 1 0 0 0      0.085      0.000      0.673      0.000      0.241    3
     2.000 0 1 0 1 0 1 0 0 0      0.064      0.000      0.635      0.001      0.300    3
     2.000 1 0 0 1 0 0 0 0 0      0.006      0.000      0.939      0.000      0.055    3
     2.000 1 0 0 0 0 0 0 0 1      0.162      0.000      0.786      0.006      0.046    3
     2.000 0 1 0 0 0 1 0 0 0      0.072      0.000      0.867      0.002      0.060    3
     1.000 1 * 0 0 0 1 0 0 0      0.106      0.000      0.726      0.021      0.148    3
     1.000 0 0 0 * 1 0 1 0 0      0.130      0.000      0.827      0.000      0.043    3
     1.000 0 0 0 * 1 1 0 0 0      0.147      0.000      0.827      0.000      0.027    3
     1.000 0 0 * 0 0 1 0 0 0      0.122      0.000      0.864      0.000      0.014    3
     1.000 0 0 0 0 * 0 0 0 *      0.018      0.000      0.980      0.000      0.002    3
     1.000 0 1 1 0 0 * 0 0 0      0.016      0.000      0.642      0.004      0.337    3
     1.000 0 0 0 0 1 0 1 0 0      0.127      0.000      0.855      0.000      0.017    3
     1.000 0 0 * 0 1 1 0 0 0      0.165      0.000      0.771      0.000      0.064    3
     1.000 0 0 1 0 0 0 0 * 0      0.041      0.000      0.937      0.000      0.022    3
     1.000 0 0 0 0 1 0 1 * 0      0.432      0.000      0.549      0.000      0.019    3
     1.000 0 0 0 1 0 0 0 1 0      0.135      0.000      0.843      0.000      0.021    3
     1.000 0 0 1 0 1 * * 0 0      0.114      0.000      0.776      0.000      0.110    3
     1.000 0 0 1 * 1 0 0 0 0      0.011      0.000      0.840      0.000      0.149    3
     1.000 1 0 0 0 0 0 0 * 0      0.026      0.000      0.959      0.001      0.014    3
     1.000 0 0 1 0 0 0 1 0 0      0.163      0.000      0.762      0.001      0.073    3
     1.000 1 0 0 1 1 0 0 0 0      0.007      0.000      0.760      0.000      0.233    3
     1.000 0 0 1 0 1 0 0 0 1      0.252      0.000      0.505      0.000      0.243    3
     1.000 * 0 0 0 1 0 0 0 0      0.006      0.000      0.985      0.000      0.009    3
     1.000 1 * 0 0 0 0 0 0 0      0.005      0.000      0.952      0.000      0.043    3
     1.000 0 1 * 0 1 0 0 0 0      0.004      0.000      0.655      0.000      0.342    3
     1.000 0 1 0 1 1 * 0 0 0      0.012      0.000      0.561      0.000      0.426    3
     1.000 1 0 0 0 1 1 0 0 0      0.161      0.000      0.698      0.001      0.140    3
     1.000 0 1 0 0 1 0 * 0 0      0.011      0.000      0.885      0.000      0.104    3
     1.000 0 0 0 * 0 0 0 0 0      0.004      0.000      0.995      0.000      0.001    3
   111.000 1 1 1 0 0 1 1 1 1      0.004      0.027      0.000      0.964      0.004    4
    19.000 1 0 1 0 0 1 1 1 1      0.179      0.012      0.000      0.804      0.005    4
    12.000 1 1 1 0 0 1 0 1 1      0.011      0.025      0.000      0.923      0.041    4
    12.000 1 1 0 0 0 1 1 1 1      0.048      0.010      0.000      0.938      0.004    4
    10.000 0 1 1 0 0 1 1 1 1      0.182      0.030      0.000      0.771      0.016    4
     9.000 1 1 1 0 0 0 1 1 1      0.008      0.013      0.000      0.922      0.057    4
     9.000 1 1 1 1 0 0 1 1 1      0.010      0.231      0.000      0.393      0.366    4
     8.000 1 1 1 0 0 1 1 1 0      0.011      0.012      0.000      0.908      0.068    4
     8.000 1 1 1 0 0 1 1 0 1      0.008      0.013      0.000      0.938      0.041    4
     6.000 1 1 1 0 0 0 0 1 1      0.015      0.008      0.001      0.611      0.364    4
     5.000 1 0 1 0 0 0 1 1 1      0.295      0.005      0.001      0.647      0.052    4
     5.000 1 1 1 0 0 0 1 1 0      0.013      0.003      0.002      0.492      0.490    4
     4.000 1 1 1 * 0 1 1 1 1      0.005      0.153      0.000      0.831      0.011    4
     4.000 1 0 1 0 0 1 0 1 1      0.359      0.008      0.001      0.596      0.035    4
     4.000 1 0 1 1 0 1 1 1 1      0.261      0.264      0.000      0.434      0.040    4
     3.000 1 1 1 0 0 1 0 1 0      0.019      0.007      0.002      0.562      0.409    4
