CASENUM,COHORT,RSTEMM,EMTHIRT,FEMALE,CB28A,CB28B,CB28C,CB28E,CB28G,CB28H,CB28I,CB28K,CB28L
1314,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1315,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1316,2,0,48.16,0,3,2,2,3,4,2,2,2,4
1317,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1318,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1319,2,-95,53.05,1,2,2,2,3,2,2,2,2,1
1320,2,1,-98,0,2,3,2,3,3,3,2,2,2
1321,2,0,43.26,1,2,4,1,5,4,2,1,2,2
1322,2,0,-98,0,4,3,3,4,4,3,2,1,3
1323,2,0,66.38,0,2,2,2,4,4,3,3,2,2
1324,2,-95,-98,0,1,1,1,2,2,2,2,-96,1
1325,2,0,-98,0,2,2,2,5,5,1,1,1,1
1326,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1327,1,1,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1328,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1329,2,0,36.2,1,2,3,2,2,4,2,2,2,3
1330,2,0,50.03,1,4,4,2,4,4,3,3,4,4
1331,2,0,-98,1,2,2,1,2,3,1,1,1,1
1332,2,0,-96,1,1,2,2,4,5,2,2,2,2
1333,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1334,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1335,2,0,-98,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
1336,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1337,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1338,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1339,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1340,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1341,2,0,48.8,1,3,5,3,4,4,3,3,2,3
1342,2,0,61.48,1,2,2,2,3,5,1,1,1,1
1343,2,-95,52.55,1,2,3,2,2,2,2,3,3,3
1344,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1345,2,0,57.14,1,5,2,1,2,4,2,2,2,3
1346,2,0,71.27,0,4,2,2,3,5,2,2,2,2
1347,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1348,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1349,2,0,-96,1,4,4,3,3,4,2,2,2,2
1350,2,0,30.95,0,2,2,2,3,2,3,-98,2,3
1351,2,0,-98,0,2,3,1,3,2,3,3,1,2
1352,2,0,67.92,0,1,1,1,5,5,2,2,1,1
1353,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1354,2,1,70.76,1,2,2,1,-98,1,2,3,2,2
1355,2,-95,77.93,0,4,2,2,2,4,3,3,-96,3
1356,2,-95,40.91,0,2,3,4,1,5,4,5,1,3
1357,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1358,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1359,2,0,72.15,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
1360,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1361,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1362,2,0,55.52,1,2,2,2,2,4,1,3,1,1
1363,1,1,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1364,2,0,65.49,0,2,2,2,3,4,3,3,3,2
1365,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1366,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1367,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1368,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1369,2,0,71.76,1,2,2,2,5,5,3,2,2,3
